time,num1,num2,result,answer,correct,date
1.210962099954486,10,4,14,14,1,March and start April
1.9755893999245016,19,7,26,26,1,March and start April
1.2088977999519557,2,6,8,8,1,March and start April
1.0760361000429841,10,4,14,14,1,March and start April
2.0769276000792156,5,11,16,16,1,March and start April
2.4943690000800416,12,13,25,25,1,March and start April
2.0387072999728844,18,3,21,21,1,March and start April
2.064771300065331,11,8,19,19,1,March and start April
1.9016138999722896,6,14,20,20,1,March and start April
3.705286500044167,14,5,19,19,1,March and start April
2.7412321999436244,12,11,23,23,1,March and start April
1.3684748000232505,7,7,14,14,1,March and start April
1.627861800021492,15,6,21,21,1,March and start April
2.9738291000248864,15,11,26,27,0,March and start April
7.80488339997828,12,3,15,15,1,March and start April
2.7876974999671797,5,14,19,19,1,March and start April
1.420054200105369,10,10,20,20,1,March and start April
2.0139880999922752,19,7,26,26,1,March and start April
1.862190300016664,6,15,21,21,1,March and start April
3.2476046000374486,19,2,21,21,1,March and start April
2.0982567999744792,5,3,8,8,1,March and start April
2.4304742000531405,11,7,18,18,1,March and start April
0.9291447999999036,1,0,1,1,1,March and start April
1.1675632000001317,3,1,4,4,1,March and start April
0.8546507000000929,2,0,2,2,1,March and start April
0.8556480000002011,0,3,3,3,1,March and start April
1.4480375999999069,0,1,1,1,1,March and start April
1.296075500000029,1,1,2,2,1,March and start April
0.7358365000000049,2,0,2,2,1,March and start April
48.7846638000001,2,3,5,5,1,March and start April
0.99979089999988,0,2,2,2,1,March and start April
1.2317904000000226,2,3,5,5,1,March and start April
1.0962973999999122,3,2,5,5,1,March and start April
1.081282599999895,3,1,4,4,1,March and start April
1.5178883000000951,2,2,4,4,1,March and start April
1.1447038000001155,2,3,5,5,1,March and start April
1.1031444000000192,3,1,4,4,1,March and start April
1.2567366000000106,0,0,0,0,1,March and start April
0.951872399999985,4,0,4,4,1,March and start April
1.248700299999996,2,3,5,5,1,March and start April
1.2080013999999435,3,3,6,6,1,March and start April
1.0887436000000434,2,1,3,3,1,March and start April
0.8809128999998848,0,2,2,2,1,March and start April
2.096354400040582,6,7,13,13,1,March and start April
1.3998078000731766,5,2,7,7,1,March and start April
1.4372308000456542,3,4,7,7,1,March and start April
1.4021921001840385,3,6,9,9,1,March and start April
2.1616231000516564,1,7,8,8,1,March and start April
1.6263345000334084,2,6,8,8,1,March and start April
2.164707599906251,1,6,7,7,1,March and start April
2.3288106999825686,2,6,8,8,1,March and start April
1.9080662000924349,6,4,10,10,1,March and start April
2.5265201001893733,7,8,15,15,1,March and start April
1.3300402001477778,7,3,10,10,1,March and start April
1.5914848998654634,3,8,11,11,1,March and start April
1.381202700082213,5,5,10,10,1,March and start April
4.164741799933837,7,9,16,16,1,March and start April
1.4976109999697655,2,8,10,10,1,March and start April
1.0976615000981838,2,3,5,5,1,March and start April
1.2069614001084121,6,1,7,7,1,March and start April
1.0222310000099242,2,2,4,4,1,March and start April
1.5668198000639677,8,1,9,9,1,March and start April
2.4869165001437072,7,2,9,9,1,March and start April
6.9135626000352195,7,8,15,15,1,March and start April
3.8188665001653135,7,6,13,13,1,March and start April
1.4118608999997375,8,0,8,8,1,March and start April
1.3758900000248104,7,7,14,14,1,March and start April
1.5857734000310302,5,5,10,10,1,March and start April
2.1748494999483228,6,9,15,15,1,March and start April
1.7013344999868425,7,3,10,10,1,March and start April
1.259107599966228,1,1,2,2,1,March and start April
1.951688400004059,6,5,11,11,1,March and start April
2.624563300050795,4,7,11,11,Apr-10-2020,1
2.8643861000891775,8,9,17,17,Apr-10-2020,1
2.1898499000817537,6,7,13,13,Apr-10-2020,1
1.2953456998802722,7,7,14,14,Apr-10-2020,1
2.797856600023806,9,8,17,17,Apr-10-2020,1
1.2883506000507623,1,1,2,2,Apr-10-2020,1
3.192542399978265,9,6,15,15,Apr-10-2020,1
1.474899600027129,4,0,4,4,Apr-10-2020,1
1.0793685999233276,0,9,9,9,Apr-10-2020,1
1.233330899849534,0,9,9,9,Apr-10-2020,1
1.3958028999622911,3,6,9,9,Apr-10-2020,1
1.2683199001476169,1,3,4,4,Apr-10-2020,1
0.9644973000977188,1,3,4,4,Apr-10-2020,1
2.982427799841389,7,9,16,16,Apr-10-2020,1
1.170654300134629,5,1,6,6,Apr-10-2020,1
1.8243130999617279,9,4,13,13,Apr-10-2020,1
2.356399100041017,8,9,17,17,Apr-10-2020,1
1.3651593001559377,2,2,4,4,Apr-10-2020,1
1.1995594000909477,4,1,5,5,Apr-10-2020,1
1.1587933001574129,5,1,6,6,Apr-10-2020,1
1.1668487000279129,2,4,6,6,Apr-10-2020,1
1.2814569000620395,1,8,9,9,Apr-10-2020,1
1.864312699995935,4,8,12,12,Apr-10-2020,1
1.4145952998660505,9,1,10,10,Apr-10-2020,1
1.7383248000405729,5,3,8,8,Apr-10-2020,1
1.9691388001665473,3,1,4,4,Apr-10-2020,1
1.5929732001386583,7,4,11,11,Apr-10-2020,1
1.7394765000790358,8,5,13,13,Apr-10-2020,1
2.1089759999886155,5,8,13,13,Apr-10-2020,1
1.940859300084412,3,4,7,7,Apr-10-2020,1
1.511790200136602,2,6,8,8,Apr-10-2020,1
1.6666108001954854,3,4,7,7,Apr-10-2020,1
1.3466566000133753,5,0,5,5,Apr-10-2020,1
4.392676200019196,9,7,16,16,Apr-10-2020,1
1.0644623001571745,3,3,6,6,Apr-10-2020,1
1.1279522001277655,0,6,6,6,Apr-10-2020,1
1.6727505000308156,9,5,14,14,Apr-10-2020,1
1.31445789989084,2,5,7,7,Apr-10-2020,1
2.2902309999335557,9,5,14,14,Apr-10-2020,1
1.9020701998379081,3,8,11,11,Apr-10-2020,1
1.8235489001963288,6,5,11,11,Apr-10-2020,1
3.2171328000258654,9,2,11,11,Apr-10-2020,1
1.1644431001041085,1,3,4,4,Apr-10-2020,1
1.7444376000203192,5,5,10,10,Apr-10-2020,1
1.0683004998136312,3,1,4,4,Apr-10-2020,1
1.6734641999937594,9,7,16,16,Apr-10-2020,1
1.6804564001504332,9,6,15,15,Apr-10-2020,1
2.461366199888289,2,9,11,11,Apr-10-2020,1
2.3965857999864966,1,9,10,10,Apr-10-2020,1
4.503563300007954,7,5,12,12,Apr-10-2020,1
1.386140399845317,3,7,10,10,Apr-10-2020,1
1.2987919000443071,8,6,14,14,Apr-10-2020,1
1.0108173000626266,1,1,2,2,Apr-10-2020,1
1.1617309001740068,3,0,3,3,Apr-10-2020,1
1.1849519999232143,8,2,10,10,Apr-10-2020,1
1.0989012999925762,9,0,9,9,Apr-10-2020,1
0.8407602999359369,9,0,9,9,Apr-10-2020,1
1.6896705999970436,4,1,5,5,Apr-10-2020,1
1.09996119979769,5,4,9,9,Apr-10-2020,1
1.3189707999117672,9,2,11,11,Apr-10-2020,1
1.6527313999831676,1,9,10,10,Apr-10-2020,1
1.1816321001388133,4,5,9,9,Apr-10-2020,1
0.9386639001313597,2,0,2,2,Apr-10-2020,1
1.257214599987492,8,2,10,10,Apr-10-2020,1
1.3745256001129746,3,2,5,5,Apr-10-2020,1
1.1714375000447035,0,6,6,6,Apr-10-2020,1
1.069433500058949,0,0,0,0,Apr-10-2020,1
1.1622834999579936,5,4,9,9,Apr-10-2020,1
1.2173023999202996,7,3,10,10,Apr-10-2020,1
1.5773287999909371,8,5,13,13,Apr-10-2020,1
1.7095846000593156,5,7,12,12,Apr-10-2020,1
2.1208632001653314,6,2,8,8,Apr-10-2020,1
1.0509925000369549,3,0,3,3,Apr-10-2020,1
1.9771625997964293,5,8,13,13,Apr-10-2020,1
1.6558391000144184,4,6,10,14,Apr-10-2020,0
4.384868199937046,2,6,8,8,Apr-10-2020,1
1.0984610000159591,5,0,5,5,Apr-10-2020,1
2.5192022998817265,3,6,9,9,Apr-10-2020,1
1.4405942000448704,4,3,7,7,Apr-10-2020,1
1.5329845999367535,7,3,10,10,Apr-10-2020,1
2.496280000079423,5,9,14,14,Apr-10-2020,1
3.2752824001945555,9,3,12,12,Apr-10-2020,1
1.1948653999716043,0,9,9,9,Apr-10-2020,1
1.463458999991417,5,2,7,7,Apr-10-2020,1
1.5039862000849098,0,2,2,2,Apr-10-2020,1
1.2267373998183757,5,0,5,5,Apr-10-2020,1
1.3432399998418987,3,2,5,5,Apr-10-2020,1
1.77214919985272,6,4,10,10,Apr-10-2020,1
1.424652500078082,0,4,4,4,Apr-10-2020,1
1.6449190001003444,4,2,6,6,Apr-10-2020,1
1.8066987998317927,5,2,7,7,Apr-10-2020,1
1.5039242999628186,8,1,9,9,Apr-10-2020,1
1.4439054999966174,5,3,8,8,Apr-10-2020,1
1.173765700077638,0,9,9,9,Apr-10-2020,1
1.425424400018528,3,0,3,3,Apr-10-2020,1
1.814883999992162,1,9,10,10,Apr-10-2020,1
1.9397134999744594,9,4,13,13,Apr-10-2020,1
1.4339121000375599,4,1,5,5,Apr-10-2020,1
2.039551499998197,5,1,6,6,Apr-10-2020,1
1.4342602998949587,4,5,9,9,Apr-10-2020,1
2.632997900014743,1,8,9,9,Apr-10-2020,1
2.24568450008519,8,9,17,17,Apr-10-2020,1
1.0873570998664945,0,9,9,9,Apr-10-2020,1
1.1379615999758244,5,5,10,10,Apr-10-2020,1
1.1044671998824924,5,0,5,5,Apr-10-2020,1
1.4593768999911845,1,0,1,1,Apr-10-2020,1
3.9852263000793755,4,9,13,13,Apr-10-2020,1
1.8087461000000076,4,6,10,10,Apr-11-2020,1
3.1568249000000037,3,4,7,7,Apr-11-2020,1
3.813445999999999,4,7,11,11,Apr-11-2020,1
1.7771190000000274,3,9,12,12,Apr-11-2020,1
1.5971169999999688,5,2,7,7,Apr-11-2020,1
1.1652631999999699,9,0,9,9,Apr-11-2020,1
2.0068362000000093,11,4,15,15,Apr-11-2020,1
2.445030299999985,5,12,17,18,Apr-11-2020,0
2.548409500000048,3,10,13,13,Apr-11-2020,1
1.796416699999952,6,1,7,7,Apr-11-2020,1
1.8295926999999779,8,3,11,11,Apr-11-2020,1
1.7089967999999658,14,2,16,16,Apr-11-2020,1
1.874710499999992,6,12,18,18,Apr-11-2020,1
4.314783199999965,12,13,25,25,Apr-11-2020,1
4.281393299999991,14,12,26,26,Apr-11-2020,1
1.3424777000000176,0,3,3,3,Apr-11-2020,1
1.5966311999999903,1,5,6,6,Apr-11-2020,1
3.6339768999999933,6,13,19,19,Apr-11-2020,1
1.558985000000007,4,10,14,14,Apr-11-2020,1
2.393307200000038,10,13,23,23,Apr-11-2020,1
1.2130513999999835,1,5,6,6,Apr-11-2020,1
1.0502354000000196,6,0,6,6,Apr-11-2020,1
1.5537842999999611,14,10,24,24,Apr-11-2020,1
1.699118800000008,12,6,18,18,Apr-11-2020,1
3.3785783999999808,13,14,27,27,Apr-11-2020,1
1.371537499999988,10,3,13,13,Apr-11-2020,1
2.4483359000000178,7,9,16,16,Apr-11-2020,1
1.9224934000000076,12,13,25,25,Apr-11-2020,1
2.9711503000000334,13,14,27,27,Apr-11-2020,1
2.050179899999989,7,14,21,21,Apr-11-2020,1
1.5746399000000224,2,5,7,7,Apr-11-2020,1
1.2169221000000334,7,0,7,7,Apr-11-2020,1
1.2993018000000234,4,3,7,7,Apr-11-2020,1
1.245687500000031,2,5,7,7,Apr-11-2020,1
1.1882032999999979,0,1,1,1,Apr-11-2020,1
2.3729915999999776,4,6,10,10,Apr-11-2020,1
2.375257300000044,7,7,14,14,Apr-11-2020,1
1.2485398999999688,1,2,3,3,Apr-11-2020,1
1.6481673000000114,6,6,12,12,Apr-11-2020,1
2.1168354000000136,4,2,6,6,Apr-11-2020,1
1.9960483000000409,12,13,25,25,Apr-11-2020,1
1.8700828999999999,9,2,11,11,Apr-11-2020,1
1.2277589999999918,5,0,5,5,Apr-11-2020,1
2.984727399999997,0,8,8,8,Apr-11-2020,1
1.328962899999965,6,3,9,9,Apr-11-2020,1
2.0243167000000426,4,13,17,17,Apr-11-2020,1
3.9530525000000125,12,13,25,25,Apr-11-2020,1
2.0485197999999514,12,14,26,26,Apr-11-2020,1
4.048361999999997,11,9,20,20,Apr-11-2020,1
2.8281656999999996,13,0,13,13,Apr-11-2020,1
1.4474830000000338,5,1,6,6,Apr-11-2020,1
3.34239070000001,14,3,17,17,Apr-11-2020,1
1.1591281999999978,0,1,1,1,Apr-11-2020,1
1.3650301999999783,11,3,14,14,Apr-11-2020,1
1.9045909999999822,8,5,13,13,Apr-11-2020,1
1.1787203999999747,10,4,14,14,Apr-11-2020,1
3.6801247999999873,14,5,19,19,Apr-11-2020,1
1.7928014000000303,12,13,25,25,Apr-11-2020,1
1.425524199999984,12,13,25,25,Apr-11-2020,1
2.1938535000000456,8,11,19,19,Apr-11-2020,1
1.4835368000000244,12,1,13,13,Apr-11-2020,1
3.436108899999965,9,6,15,15,Apr-11-2020,1
2.495004100000017,2,13,15,15,Apr-11-2020,1
4.233891900000003,11,10,21,21,Apr-11-2020,1
1.4701142999999774,12,0,12,12,Apr-11-2020,1
1.325981000000013,10,10,20,20,Apr-11-2020,1
1.4017274999999927,3,4,7,7,Apr-11-2020,1
2.0696417999999994,8,8,16,16,Apr-11-2020,1
1.7444168000000104,5,3,8,8,Apr-11-2020,1
1.4037140000000363,3,10,13,13,Apr-11-2020,1
2.283338800000024,14,2,16,16,Apr-11-2020,1
1.7566375999999764,5,2,7,7,Apr-11-2020,1
3.311242899999968,2,6,8,8,Apr-11-2020,1
1.1903599999999983,3,3,6,6,Apr-11-2020,1
1.2121094999999968,1,14,15,15,Apr-11-2020,1
2.0194435000000226,4,2,6,6,Apr-11-2020,1
1.165145100000018,1,5,6,6,Apr-11-2020,1
1.9685067000000345,13,12,25,25,Apr-11-2020,1
1.353815099999963,10,8,18,18,Apr-11-2020,1
2.1485415999999873,2,6,8,8,Apr-11-2020,1
2.4459420000000023,14,11,25,25,Apr-11-2020,1
1.2787903999999912,0,4,4,4,Apr-11-2020,1
4.277484800000025,3,12,15,15,Apr-11-2020,1
3.1864444000000276,11,12,23,23,Apr-11-2020,1
1.4826617999999598,6,2,8,8,Apr-11-2020,1
2.389672599999983,9,8,17,17,Apr-11-2020,1
1.6130832999999711,2,8,10,10,Apr-11-2020,1
2.312671200000011,12,10,22,22,Apr-11-2020,1
1.3574747999999772,4,0,4,4,Apr-11-2020,1
1.7065699999999993,10,11,21,21,Apr-11-2020,1
1.1456522999999947,3,0,3,3,Apr-11-2020,1
1.8011725999999726,9,6,15,15,Apr-11-2020,1
1.5683761999999888,6,12,18,18,Apr-11-2020,1
1.1964833000000112,3,2,5,5,Apr-11-2020,1
1.7609565999999859,2,14,16,16,Apr-11-2020,1
1.1080274999999915,3,1,4,4,Apr-11-2020,1
1.1954013999999802,11,0,11,11,Apr-11-2020,1
1.1972382000000152,2,2,4,4,Apr-11-2020,1
1.4932580000000257,0,12,12,12,Apr-11-2020,1
1.6562074999999936,11,1,12,12,Apr-11-2020,1
1.615148999999974,3,9,12,12,Apr-11-2020,1
2.684105000000045,9,11,20,20,Apr-11-2020,1
3.5694968000000245,13,11,24,24,Apr-11-2020,1
1.914076199999954,8,4,12,12,Apr-11-2020,1
1.3496029000000362,9,1,10,10,Apr-11-2020,1
